Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Колбаса сырокопчёная Черкизово Преображенская, 300г;189.99;46;1 шт;349.99;https://photos.okolo.app/product/1165111-main/320x320.jpeg
Буженина Новгородский бекон Столичная варёно-копчёная, кг;935.99;0.0;1 кг;935.99;https://photos.okolo.app/product/1165109-main/320x320.jpeg
Колбаса Атяшево Печеночная ливерная, 250г;52.49;0.0;1 шт;52.49;https://photos.okolo.app/product/1164795-main/320x320.jpeg
Колбаса сырокопчёная Черкизово Богородская, 300г;403.99;0.0;1 шт;403.99;https://photos.okolo.app/product/1164771-main/320x320.jpeg
Колбаса полукопчёная Новгородский Бекон Криковская, 300г;184.99;0.0;1 шт;184.99;https://photos.okolo.app/product/1164403-main/320x320.jpeg
Салями варёно-копчёная Иней Финская в нарезке, 150г;168.99;0.0;1 шт;168.99;https://photos.okolo.app/product/1164402-main/320x320.jpeg
Сервелат варёно-копчёный Иней в нарезке, 150г;99.99;38;1 шт;161.99;https://photos.okolo.app/product/1164401-main/320x320.jpeg
Окорок Северная ПФ;199.99;0.0;1 кг;199.99;https://photos.okolo.app/product/1164389-main/320x320.jpeg
Дымовица Останкино из лопатки варёно-копчёная нарезка, 150г;99.99;33;1 шт;149.99;https://photos.okolo.app/product/1163697-main/320x320.jpeg
Тушка цыпленка охлажденная;134.99;0.0;1 кг;134.99;https://photos.okolo.app/product/1162745-main/320x320.jpeg
Салями сырокопчёная Останкино Итальянская в нарезке, 150г;249.99;0.0;1 шт;249.99;https://photos.okolo.app/product/1162577-main/320x320.jpeg
Тушка куриная Роскар потрошёная замороженная 2 сорт;129.99;0.0;1 кг;129.99;https://photos.okolo.app/product/1157888-main/320x320.jpeg
Филе грудки цыпленка Северная;319.99;0.0;1 кг;319.99;https://photos.okolo.app/product/1162454-main/320x320.jpeg
Крыло цыпленка Северная охлажденное;199.99;0.0;1 кг;199.99;https://photos.okolo.app/product/1162453-main/320x320.jpeg
Грудка цыпленка Северная с кожей;209.99;0.0;1 кг;209.99;https://photos.okolo.app/product/1162452-main/320x320.jpeg
Голень цыпленка Северная охлажденное;219.99;0.0;1 кг;219.99;https://photos.okolo.app/product/1162451-main/320x320.jpeg
Бедро куриное Северная;149.99;25;1 кг;199.99;https://photos.okolo.app/product/1162450-main/320x320.jpeg
Головы куриные Приосколье замороженные;59.99;13;1 кг;68.99;https://photos.okolo.app/product/1438857-main/320x320.jpeg
Голень цыпленка Петелинка охлажденная;229.99;0.0;1 кг;229.99;https://photos.okolo.app/product/1160223-main/320x320.jpeg
