Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Мороженое пломбир Сарафаново крем-брюле стаканчик 15%, 90г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1190106-main/320x320.jpeg
Мороженое пломбир Сарафаново шоколадный стаканчик 15%, 90г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1190105-main/320x320.jpeg
Мороженое пломбир Сарафаново ванильный стаканчик 15%, 90г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1190104-main/320x320.jpeg
Пельмени Красная Цена Классические 1 кг;148.99;0.0;1 шт;148.99;https://photos.okolo.app/product/1190072-main/320x320.jpeg
Клубника Красная цена быстрозамороженная 300 г;89.99;0.0;1 шт;89.99;https://photos.okolo.app/product/1189577-main/320x320.jpeg
Клюква Красная цена садовая быстрозамороженная 300 г;189.99;0.0;1 шт;189.99;https://photos.okolo.app/product/1189576-main/320x320.jpeg
Пельмени Цезарь домашние, 800г;599.99;0.0;1 шт;599.99;https://photos.okolo.app/product/1189438-main/320x320.jpeg
Пельмени Сибирская Коллекция 4 вида мяса, 700г;544.99;0.0;1 шт;544.99;https://photos.okolo.app/product/1189323-main/320x320.jpeg
Фасоль Красная Цена зеленая стручковая резаная 700г;157.99;0.0;1 шт;157.99;https://photos.okolo.app/product/1188939-main/320x320.jpeg
Капуста брокколи Красная цена быстрозамороженная 700 г;189.99;0.0;1 шт;189.99;https://photos.okolo.app/product/1188937-main/320x320.jpeg
Пельмени Цезарь Император, 800г;699.99;0.0;1 шт;699.99;https://photos.okolo.app/product/1188879-main/320x320.jpeg
Пельмени Цезарь Классика, 800г;489.99;0.0;1 шт;489.99;https://photos.okolo.app/product/1188358-main/320x320.jpeg
Пельмени Цезарь Гордость Сибири, 800г;489.99;0.0;1 шт;489.99;https://photos.okolo.app/product/1188357-main/320x320.jpeg
Вареники Морозко украинские с картофелем, 900г;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1186511-main/320x320.jpeg
Эскимо Чистая Линия пломбир ванильное в апельсиновом соке в глазури 12%, 70г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1186112-main/320x320.jpeg
Смесь овощная 4 Сезона 8 Овощей быстрозамороженная, 400г;166.99;0.0;1 шт;166.99;https://photos.okolo.app/product/1185428-main/320x320.jpeg
Чебурек Жаренки с мясом, 125г;52.49;0.0;1 шт;52.49;https://photos.okolo.app/product/1183601-main/320x320.jpeg
Пельмени Мираторг из мраморной говядины, 800г;319.99;47;1 шт;607.09;https://photos.okolo.app/product/1180213-main/320x320.jpeg
Пельмени Мираторг домашние из свинины и говядины 800г;519.99;0.0;1 шт;519.99;https://photos.okolo.app/product/1180189-main/320x320.jpeg
Пельмени Цезарь с мясом бычков, 450г;199.99;38;1 шт;323.99;https://photos.okolo.app/product/1180091-main/320x320.jpeg
Пицца Цезарь с ветчиной и грибами, 420г;219.99;19;1 шт;269.99;https://photos.okolo.app/product/1178884-main/320x320.jpeg
Наггетсы Красная Цена из мяса цыпленка 300г;93.49;0.0;1 шт;93.49;https://photos.okolo.app/product/1178712-main/320x320.jpeg
Пельмени Цезарь премиум, 600г;449.99;0.0;1 шт;449.99;https://photos.okolo.app/product/1178032-main/320x320.jpeg
Мороженое Вологодский Пломбир ванильное 15%, 250г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1178006-main/320x320.jpeg
Пломбир Вологодский Пломбир стаканчик 15%, 100г;64.99;0.0;1 шт;64.99;https://photos.okolo.app/product/1178005-main/320x320.jpeg
Мороженое пломбир Хладокомбинат №1 крем-брюле на сливках стаканчик 12%, 70г;44.99;23;1 шт;58.19;https://photos.okolo.app/product/1177990-main/320x320.jpeg
Мороженое пломбир Как Раньше ванильный рожок в глазури 15%, 100г;69.99;0.0;1 шт;69.99;https://photos.okolo.app/product/1177988-main/320x320.jpeg
Мороженое пломбир Хладокомбинат №1 ванильный на сливках 12%, 70г;52.99;0.0;1 шт;52.99;https://photos.okolo.app/product/1176543-main/320x320.jpeg
Смесь овощная Vитамин Овощи-гриль с итальянскими травами быстрозамороженная, 400г;142.99;15;1 шт;167.99;https://photos.okolo.app/product/1175787-main/320x320.jpeg
Пельмени Ложкаревъ из отборной говядины, 900г;323.99;0.0;1 шт;323.99;https://photos.okolo.app/product/1175391-main/320x320.jpeg
Круггетсы Горячая Штучка с сырным соусом из мяса птиц, 250г;185.99;0.0;1 шт;185.99;https://photos.okolo.app/product/1175363-main/320x320.jpeg
Котлеты Белорусские из индейки, 560г;179.99;38;1 шт;291.59;https://photos.okolo.app/product/1174790-main/320x320.jpeg
Пломбир Коровка из Кореновки в шоколадно-сливочной глазури 15%, 90г;82.49;0.0;1 шт;82.49;https://photos.okolo.app/product/1173872-main/320x320.jpeg
Пельмени Горячая Штучка Бульмени с говядиной и свининой, 900г;349.99;0.0;1 шт;349.99;https://photos.okolo.app/product/1173336-main/320x320.jpeg
Блинчики Морозко с сердцем 210г;49.99;33;1 шт;74.99;https://photos.okolo.app/product/1173316-main/320x320.jpeg
Пицца La Trattoria с моцареллой замороженная 335г;179.99;40;1 шт;299.99;https://photos.okolo.app/product/1173211-main/320x320.jpeg
Вишня Hortex без косточки быстрозамороженная, 300г;207.99;0.0;1 шт;207.99;https://photos.okolo.app/product/1172779-main/320x320.jpeg
Пельмени Горячая штучка Бульмени со сливочным маслом, 430г;169.99;0.0;1 шт;169.99;https://photos.okolo.app/product/1172111-main/320x320.jpeg
Хотстеры Горячая Штучка замороженные, 250г;196.99;0.0;1 шт;196.99;https://photos.okolo.app/product/1171853-main/320x320.jpeg
Чебупицца Горячая Штучка Курочка по-итальянски, 250г;179.99;0.0;1 шт;179.99;https://photos.okolo.app/product/1170423-main/320x320.jpeg
Чебупицца Горячая Штучка Пепперони, 250г;109.99;31;1 шт;158.29;https://photos.okolo.app/product/1169875-main/320x320.jpeg
Мороженое пломбир Филевский 12%, 450г;269.99;0.0;1 шт;269.99;https://photos.okolo.app/product/1169375-main/320x320.jpeg
Пломбир Коровка Из Кореновки с шоколадной стружкой, 400г;299.99;0.0;1 шт;299.99;https://photos.okolo.app/product/1169370-main/320x320.jpeg
Пломбир Коровка из Кореновки шоколадный стаканчик, 100г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1169363-main/320x320.jpeg
Мороженое пломбир Коровка из Кореновки крем-брюле стаканчик, 100г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1169362-main/320x320.jpeg
Блины С Пылу с Жару с курицей, 360г;139.99;0.0;1 шт;139.99;https://photos.okolo.app/product/1169093-main/320x320.jpeg
Чебупели Горячая штучка с ветчиной и сыром, 300г;175.49;0.0;1 шт;175.49;https://photos.okolo.app/product/1168638-main/320x320.jpeg
Чебупели Горячая Штучка Сочные с мясом, 300г;176.99;0.0;1 шт;176.99;https://photos.okolo.app/product/1167511-main/320x320.jpeg
Пломбир Коровка из Кореновки стаканчик 15%, 100г;74.99;0.0;1 шт;74.99;https://photos.okolo.app/product/1167441-main/320x320.jpeg
Пломбир Как Раньше крем-брюле стаканчик 15%, 70г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1167383-main/320x320.jpeg
Мороженое пломбир Как Раньше ванильный стаканчик 15%, 70г;39.99;0.0;1 шт;39.99;https://photos.okolo.app/product/1167382-main/320x320.jpeg
