Название;Цена;Размер скидки;Мера веса/объема/цена за указанную меру;Старая цена;Ссылка на картинку
Соус песто Trattoria Di Maestro Turatti 190г;151.99;11;1 шт;169.99;https://photos.okolo.app/product/1207687-main/320x320.jpeg
Кукуруза Global Village Selection сладкая, 340г;79.99;11;1 шт;89.99;https://photos.okolo.app/product/1207588-main/320x320.jpeg
Горошек Global Village Selection зеленый, 400г;79.99;11;1 шт;89.99;https://photos.okolo.app/product/1207543-main/320x320.jpeg
Смесь фруктовая Mixbar Компотная, 500г;179.99;16;1 шт;214.99;https://photos.okolo.app/product/1207075-main/320x320.jpeg
Маска для волос Schauma энергия природы клубника, банан и семена чиа 380мл;269.99;32;1 шт;397.39;https://photos.okolo.app/product/1206809-main/320x320.jpeg
Кофе Venetto натуральный растворимый, 95г;179.99;14;1 шт;209.99;https://photos.okolo.app/product/1206718-main/320x320.jpeg
Антиперспирант Deonica Энергия витаминов роликовый 50мл;129.99;13;1 шт;149.99;https://photos.okolo.app/product/1466310-main/320x320.jpeg
Корм для собак Cesar Ягненок в овощном соусе 85г;26.99;28;1 шт;37.49;https://photos.okolo.app/product/1206352-main/320x320.jpeg
Корм Cesar говядина с овощами в соусе для собак, 85г;26.99;28;1 шт;37.49;https://photos.okolo.app/product/1206351-main/320x320.jpeg
Попкорн MixBar Карамель сладкий 250 г;74.99;12;1 шт;84.99;https://photos.okolo.app/product/1205811-main/320x320.jpeg
Жевательная резинка Dirol White клубника без сахара 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1204149-main/320x320.jpeg
Лечо Global Village, 520г;98.99;13;1 шт;113.84;https://photos.okolo.app/product/1202962-main/320x320.jpeg
Ананасы Global Village кусочки в сиропе, 580мл;139.99;13;1 шт;159.99;https://photos.okolo.app/product/1201948-main/320x320.jpeg
Жевательная резинка Dirol клубника-кокос 13.6г;29.99;17;1 шт;35.99;https://photos.okolo.app/product/1201749-main/320x320.jpeg
Кофе Venetto растворимый сублимированный, 95г;179.99;14;1 шт;209.99;https://photos.okolo.app/product/1201339-main/320x320.jpeg
Жевательная резинка Love is ассорти, 21г;29.99;35;1 шт;45.99;https://photos.okolo.app/product/1200700-main/320x320.jpeg
Конфеты Беловежская Пуща с яблочным пюре;449.99;39;1 кг;739.99;https://photos.okolo.app/product/1199945-main/320x320.jpeg
Чечевица Global Village красная 450 г;99.99;17;1 шт;119.99;https://photos.okolo.app/product/1199896-main/320x320.jpeg
Смесь Mix Bar из сушёных фруктов и орехов, 150г;169.99;15;1 шт;199.99;https://photos.okolo.app/product/1199169-main/320x320.jpeg
